time_seconds,cdf
7359.139152306795,1.364865242655384e-09
7362.623603648474,1.6139342492747358e-09
7366.1080549901535,1.9069099668684667e-09
7369.592506331833,2.2512478845782364e-09
7373.076957673512,2.655618720373569e-09
7376.56140901519,3.1300977247308097e-09
7380.0458603568695,3.6863819552988376e-09
7383.530311698549,4.33803972951153e-09
7387.014763040228,5.1007961731281635e-09
7390.499214381907,5.992860359896706e-09
7393.9836657235865,7.0352994864548084e-09
7397.468117065266,8.252466207470615e-09
7400.952568406945,9.67248691029011e-09
7404.437019748624,1.1327818259672835e-08
7407.921471090303,1.3255881607208628e-08
7411.405922431982,1.5499785111515746e-08
7414.890373773661,1.8109145220707196e-08
7418.37482511534,2.1141019894009894e-08
7421.859276457019,2.4660968299453677e-08
7425.343727798699,2.874425240204884e-08
7428.828179140378,3.347719875866314e-08
7432.312630482057,3.8958739916850145e-08
7435.797081823736,4.530215775189442e-08
7439.281533165416,5.2637053220908314e-08
7442.765984507094,6.11115698811892e-08
7446.250435848773,7.089490153938818e-08
7449.734887190452,8.218011740862751e-08
7453.219338532132,9.5187342254406e-08
7456.703789873811,1.1016733267495524e-07
7460.18824121549,1.2740549474077657e-07
7463.672692557169,1.4722639365325756e-07
7467.1571438988485,1.6999881035708628e-07
7470.641595240528,1.9614140633565343e-07
7474.126046582206,2.261290636056491e-07
7477.610497923885,2.604999734547049e-07
7481.0949492655645,2.99863554936772e-07
7484.579400607244,3.4490929151567356e-07
7488.063851948923,3.964165829810864e-07
7491.548303290602,4.552657186970158e-07
7495.0327546322815,5.224500877688016e-07
7498.517205973961,5.990897526262273e-07
7502.00165731564,6.864465235267104e-07
7505.486108657319,7.859406834428665e-07
7508.9705599989975,8.991695263464246e-07
7512.455011340677,1.0279278850682871e-06
7515.939462682356,1.1742308398091285e-06
7519.423914024035,1.340338814955554e-06
7522.908365365714,1.5287852871929551e-06
7526.392816707394,1.7424073470070783e-06
7529.877268049073,1.984379373703414e-06
7533.361719390752,2.258250104336486e-06
7536.846170732431,2.567983397910794e-06
7540.33062207411,2.918003018380397e-06
7543.815073415789,3.3132417833389173e-06
7547.299524757468,3.759195449422035e-06
7550.783976099147,4.261981731606699e-06
7554.268427440827,4.828404879555421e-06
7557.752878782506,5.466026262609981e-06
7561.237330124185,6.18324144351739e-06
7564.721781465864,6.989364250738054e-06
7568.2062328075435,7.89471839086972e-06
7571.690684149222,8.910737173412285e-06
7575.175135490901,1.0050071953643478e-05
7578.65958683258,1.1326709932297885e-05
7582.14403817426,1.2756101985137974e-05
7585.628489515939,1.4355301229421802e-05
7589.112940857618,1.6143113070226543e-05
7592.597392199297,1.814025750345107e-05
7596.0818435409765,2.0369544488711724e-05
7599.566294882656,2.2856063239387786e-05
7603.050746224335,2.562738631208765e-05
7606.535197566013,2.8713789411852924e-05
7610.0196489076925,3.21484878619775e-05
7613.504100249372,3.5967890719537864e-05
7616.988551591051,4.021187354788603e-05
7620.47300293273,4.492407088576864e-05
7623.957454274409,5.01521894786718e-05
7627.441905616089,5.594834336220388e-05
7630.926356957768,6.236941190697522e-05
7634.410808299447,6.94774219523409e-05
7637.895259641125,7.733995516888845e-05
7641.379710982805,8.603058179860776e-05
7644.864162324484,9.562932192529178e-05
7648.348613666163,0.00010622313542660564
7651.833065007842,0.00011790644175051069
7655.317516349522,0.00013078167064648478
7658.801967691201,0.00014495984495907315
7662.28641903288,0.00016056119656301091
7665.770870374559,0.00017771581648368966
7669.2553217162385,0.00019656434019782158
7672.739773057917,0.0002172586690566785
7676.224224399596,0.00023996272870878884
7679.708675741275,0.0002648532653213305
7683.193127082955,0.00029212068031453863
7686.677578424634,0.00032196990422596376
7690.162029766313,0.0003546213102081834
7693.646481107992,0.00039031166754293267
7697.1309324496715,0.00042929513541754014
7700.615383791351,0.0004718442970626644
7704.099835133029,0.0005182512341825136
7707.584286474708,0.0005688286414369893
7711.0687378163875,0.0006239109805414962
7714.553189158067,0.0006838556733439044
7718.037640499746,0.0007490443330219713
7721.522091841425,0.0008198840323055826
7725.006543183104,0.000896808607383431
7728.490994524784,0.0009802799958917535
7731.975445866463,0.0010707896071038246
7735.459897208142,0.0011688597221500756
7738.9443485498205,0.0012750449218026166
7742.4287998915,0.001389933539034664
7745.913251233179,0.001514149133251656
7749.397702574858,0.0016483519827424763
7752.882153916537,0.0017932405915682165
7756.366605258217,0.0019495532067475944
7759.851056599896,0.0021180693412338005
7763.335507941575,0.0022996112978322467
7766.819959283254,0.0024950456888145306
7770.304410624933,0.002705284945645502
7773.788861966612,0.0029312888128487993
7777.273313308291,0.003174065819679073
7780.75776464997,0.003434674722919098
7784.24221599165,0.0037142259137415003
7787.726667333329,0.004013882781255597
7791.211118675008,0.004334863025013464
7794.695570016687,0.004678439908432317
7798.1800213583665,0.005045943444797139
7801.664472700046,0.00543876150721945
7805.148924041724,0.005858340853677035
7808.633375383403,0.006306188058020998
7812.1178267250825,0.006783870337645439
7815.602278066762,0.007293016268333793
7819.086729408441,0.007835316376666165
7822.57118075012,0.008412523600277888
7826.055632091799,0.009026453606181675
7829.540083433479,0.009678984957388875
7833.024534775157,0.010372059118066698
7836.508986116836,0.01110768028754595
7839.9934374585155,0.01188791505364783
7843.477888800195,0.012714891855986035
7846.962340141874,0.013590800250088696
7850.446791483553,0.014517889963557167
7853.931242825232,0.015498469735749311
7857.415694166912,0.016534905932990458
7860.900145508591,0.01762962093167399
7864.38459685027,0.018785091262239713
7867.869048191948,0.02000384550757534
7871.353499533628,0.021288461950059085
7874.837950875307,0.022641565962176587
7878.322402216986,0.02406582713637834
7881.806853558665,0.02556395615083138
7885.291304900345,0.02713870136837382
7888.775756242024,0.028792845167198305
7892.260207583703,0.03052920000258096
7895.744658925382,0.03235060420015888
7899.229110267061,0.03425991748224787
7902.71356160874,0.03626001622999779
7906.198012950419,0.03835378848518105
7909.682464292098,0.040544128696724004
7913.1669156337775,0.042833932218333044
7916.651366975457,0.045226089564820916
7920.135818317136,0.04772348043599159
7923.620269658815,0.05032896751833414
7927.1047210004945,0.05304539007585543
7930.589172342174,0.055875557343055465
7934.073623683852,0.05882224173392293
7937.558075025531,0.06188817188230838
7941.0425263672105,0.06507602553046354
7944.52697770889,0.06838842228332691
7948.011429050569,0.07182791624760529
7951.495880392248,0.0753969885758452
7954.980331733927,0.07909803993677404
7958.464783075607,0.0829333829338033
7961.949234417286,0.08690523449533913
7965.433685758964,0.09101570826059371
7968.918137100643,0.09526680698587356
7972.402588442323,0.09966041499702573
7975.887039784002,0.10419829071393548
7979.371491125681,0.10888205927401942
7982.85594246736,0.11371320528153378
7986.34039380904,0.11869306571037615
7989.824845150719,0.12382282298754836
7993.309296492398,0.12910349828507972
7996.793747834077,0.1345359450478798
8000.278199175756,0.14012084278477632
8003.762650517435,0.14585869114972277
8007.247101859114,0.15174980433972668
8010.731553200793,0.1577943058351893
8014.216004542473,0.16399212350831985
8017.700455884152,0.17034298512329754
8021.184907225831,0.1768464142520762
8024.66935856751,0.18350172662771436
8028.153809909189,0.19030802695650928
8031.638261250868,0.1972642062082265
8035.122712592547,0.20436893940282505
8038.607163934226,0.21162068391046082
8042.0916152759055,0.2190176782789759
8045.576066617585,0.22655794160293888
8049.060517959264,0.23423927344474568
8052.544969300943,0.24205925431758177
8056.029420642622,0.250015246737149
8059.513871984302,0.2581043968478963
8062.998323325981,0.266323636626208
8066.482774667659,0.274669686662335
8069.967226009338,0.2831390595186911
8073.451677351018,0.2917280636621604
8076.936128692697,0.3004328079637668
8080.420580034376,0.30924920675836215
8083.905031376055,0.3181729854537324
8087.389482717735,0.3271996866770703
8090.873934059414,0.3363246769439922
8094.358385401092,0.3455431538338333
8097.842836742771,0.35485015365200506
8101.327288084451,0.36424055955926843
8104.81173942613,0.37370911014509045
8108.296190767809,0.3832504084206519
8111.780642109488,0.3928589312055659
8115.265093451168,0.4025290388804417
8118.749544792847,0.41225498547630046
8122.233996134526,0.4220309290700455
8125.718447476205,0.4318509424543155
8129.2028988178845,0.4417090240489952
8132.687350159563,0.4515991090202282
8136.171801501242,0.46151508057244683
8139.656252842921,0.47145078137825647
8143.1407041846005,0.48140002511013713
8146.62515552628,0.4913566080380063
8150.109606867959,0.5013143206563336
8153.594058209638,0.5112669593044864
8157.078509551317,0.5212083377437854
8160.562960892996,0.5311322986560425
8164.047412234675,0.5410327250277247
8167.531863576354,0.550903551384493
8171.0163149180335,0.5607387748431021
8174.500766259713,0.5705324659465132
8177.985217601392,0.5802787792503499
8181.469668943071,0.5899719636298955
8184.95412028475,0.5996063722776355
8188.43857162643,0.6091764723632345
8191.923022968109,0.6186768543291113
8195.407474309788,0.6281022407961092
8198.891925651467,0.6374474950565387
8202.376376993147,0.6467076291318705
8205.860828334826,0.6558778113763069
8209.345279676505,0.6649533736075338
8212.829731018182,0.6739298177488741
8216.314182359862,0.6828028219694056
8219.79863370154,0.6915682463093995
8223.28308504322,0.7002221377819362
8226.7675363849,0.7087607349422854
8230.251987726579,0.717180471920289
8233.736439068258,0.7254779819109416
8237.220890409937,0.7336501001227869
8240.705341751616,0.7416938661838487
8244.189793093296,0.7496065260074654
8247.674244434975,0.7573855331230105
8251.158695776654,0.7650285494770227
8254.643147118333,0.7725334457131338
8258.127598460012,0.7798983009403743
8261.612049801692,0.7871214020013462
8265.096501143371,0.7942012422532588
8268.58095248505,0.8011365198761123
8272.06540382673,0.80792613572395
8275.549855168407,0.8145691907364545
8279.034306510086,0.8210649829286282
8282.518757851765,0.8274130039787115
8286.003209193444,0.8336129354340243
8289.487660535124,0.8396646445559783
8292.972111876803,0.8455681798265665
8296.456563218482,0.8513237661383846
8299.941014560161,0.8569317996916502
8303.42546590184,0.8623928426211855
8306.90991724352,0.8677076173777388
8310.3943685852,0.8728770008869853
8313.878819926878,0.877902018510601
8317.363271268558,0.8827838378333034
8320.847722610237,0.8875237622996217
8324.332173951916,0.8921232247241846
8327.816625293595,0.8965837806988732
8331.301076635275,0.9009071019196159
8334.785527976954,0.905094969455484
8338.269979318633,0.9091492669819561
8341.754430660312,0.9130719739994757
8345.23888200199,0.9168651590581092
8348.723333343669,0.9205309730081084
8352.207784685348,0.9240716422951222
8355.692236027027,0.9274894623187496
8359.176687368707,0.9307867908711555
8362.661138710386,0.9339660416724549
8366.145590052065,0.937029678018063
8369.630041393744,0.9399802065524626
8373.114492735423,0.9428201711826945
8376.598944077103,0.9455521471438387
8380.083395418782,0.9481787352280052
8383.567846760461,0.9507025561868019
8387.05229810214,0.9531262453166742
8390.53674944382,0.9554524472353232
8394.021200785499,0.9576838108562051
8397.505652127178,0.9598229845674268
8400.990103468857,0.9618726116201551
8404.474554810535,0.9638353257307181
8407.959006152214,0.9657137468997221
8411.443457493893,0.9675104774505421
8414.927908835572,0.9692280982886079
8418.412360177252,0.9708691653822903
8421.896811518931,0.972436206465044
8425.38126286061,0.9739317179580651
8428.86571420229,0.9753581621117258
8432.350165543969,0.9767179643634845
8435.834616885648,0.9780135109093483
8439.319068227327,0.979247146485347
8442.803519569006,0.980421172354839
8446.287970910686,0.9815378444971571
8449.772422252365,0.9825993719924749
8453.256873594044,0.9836079155974196
8456.741324935723,0.9845655865055786
8460.225776277402,0.9854744452867873
8463.710227619082,0.986336500998632
8467.194678960761,0.9871537104635681
8470.67913030244,0.9879279777046679
8474.16358164412,0.9886611535329716
8477.648032985797,0.9893550352792235
8481.132484327476,0.9900113666627086
8484.616935669155,0.9906318377898374
8488.101387010835,0.9912180852751054
8491.585838352514,0.9917716924770702
8495.070289694193,0.9922941898420244
8498.554741035872,0.9927870553480587
8502.039192377551,0.9932517150423951
8505.52364371923,0.9936895436648705
8509.00809506091,0.994101865350668
8512.49254640259,0.9944899544055078
8515.976997744268,0.9948550361466614
8519.461449085948,0.9951982878034037
8522.945900427627,0.9955208394706335
8526.430351769306,0.9958237751096662
8529.914803110985,0.9961081335904035
8533.399254452665,0.9963749097692971
8536.883705794342,0.9966250555978027
8540.368157136021,0.9968594812562165
8543.8526084777,0.9970790563080625
8547.33705981938,0.9972846108704454
8550.821511161059,0.9974769367960266
8554.305962502738,0.9976567888625335
8557.790413844417,0.9978248859659665
8561.274865186097,0.997981912313918
8564.759316527776,0.9981285186156544
8568.243767869455,0.9982653232658554
8571.728219211134,0.9983929135191574
8575.212670552814,0.9985118466528459
8578.697121894493,0.9986226511153066
8582.181573236172,0.9987258276580274
8585.666024577851,0.9988218504491823
8589.15047591953,0.9989111681670143
8592.63492726121,0.9989942050714361
8596.119378602889,0.9990713620524623
8599.603829944568,0.999143017654249
8603.088281286247,0.9992095290737071
8606.572732627927,0.9992712331328031
8610.057183969604,0.9993284472238189
8613.541635311283,0.9993814702269913
8617.026086652962,0.9994305834000785
8620.510537994642,0.9994760512395356
8623.994989336321,0.9995181223130979
