time_seconds,cdf
5249.866045073086,0.07120077272562984
5420.8937105919595,0.14239622628935444
5438.714550773588,0.2134408656794831
5565.98457751782,0.2844689283061538
5586.0,0.3693272239325928
5632.64697871966,0.4384452914083828
5716.953925000729,0.5090429612477656
5768.042277822259,0.58020717628419
5788.658606433494,0.6513073353214166
5881.832774779376,0.7222559691189587
5993.065131715157,0.7934221630694137
6158.405054061847,0.8617782570541269
6187.500640008739,0.9329758831313983
6313.634016149562,1.0
