deltager,malt_tid,loo_prediktion,loo_sejletid,loo_prediktions_fejl,tidsafvigelse,tidsafvigelse_procent
Oluf Grønkjær,1:15:08,1:24:03,1:12:49,0,-0:08:55,-10.6\%
Horacio Bulacio,1:18:21,1:27:24,1:20:04,+1,-0:09:03,-10.4\%
Henrik Axelsen,1:19:26,1:25:57,1:18:31,-1,-0:06:31,-7.6\%
Inger Stokkink,1:31:58,1:27:33,1:21:10,0,0:04:25,+5.1\%
Morten Hoffmann,1:38:36,1:28:07,1:17:25,0,0:10:29,+11.9\%
Jesper Thygesen,1:44:31,1:32:51,1:17:01,0,0:11:40,+12.6\%
