x,gamma,step
-0.031206225868766705,0.18700286876261327,1
-0.030355967632546537,0.20450483431649105,2
-0.032580497025003236,0.18658730825561692,3
-0.021682915109450925,0.20533349465297576,4
-0.022616251455927498,0.17628612347204056,5
-0.021801819331318726,0.18426145235043515,6
-0.024964287734744763,0.16330112373058722,7
-0.027167065851912475,0.1378188944930458,8
-0.026326859416099423,0.15135202255532546,9
-0.026491716088726684,0.14586007812618387,10
-0.026869262762972593,0.14168040128828388,11
-0.026216216053009875,0.1718459154726595,12
-0.027794146882712777,0.15814464256559482,13
-0.02759183423117825,0.16072311964738092,14
-0.025749220616579367,0.16792731863069468,15
-0.026303915413541247,0.16419261632693502,16
-0.02653942408150384,0.160292701168642,17
-0.024136988533326482,0.18385573016096296,18
