x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'25-R1,Stor bane 2,0.028043022112897303,0.025904648496897168,0.02291795930352869,0.01661327312814802,0.03947277109764659,0.006304244606519932,0.049781799619274675,0.01661327312814802,0.03947277109764659
2,R2,Stor Bane,'25-R2,Stor bane 2,0.03857626871865091,,,0.01830050777863353,0.0588520296586683,-0.020516544574111735,0.09766908201141355,0.01830050777863353,0.0588520296586683
3,R3,Stor Bane,'25-R3,Stor bane 2,0.027270567796286747,0.034827015014914836,0.06264996849684579,0.01578480689110683,0.03875632870146667,0.002158093169748774,0.052383042422824724,0.01578480689110683,0.03875632870146667
4,R4,Stor Bane,'25-R4,Stor bane 2,0.026379335292777886,0.019828747882111662,0.017785325214742187,0.017860250591542233,0.03489841999401354,0.016660351942809168,0.0360983186427466,0.017860250591542233,0.03489841999401354
5,R5,Stor Bane,'25-R5,Stor bane 2,0.025923784114641767,0.027843581180197204,0.03930345271331426,0.018541179897450993,0.03330638833183254,0.0058320200694906565,0.04601554815979288,0.018541179897450993,0.03330638833183254
6,R6,Stor Bane,'25-R6,Stor bane 2,0.03444783426771451,0.03403348484223029,0.03126135867984203,0.023788140301009755,0.045107528234419256,0.0006836947604330484,0.06821197377499597,0.023788140301009755,0.045107528234419256
7,R7,Stor Bane,'25-R7,Stor bane 2,0.022772451564727,0.01745789771382717,0.004711154045736521,0.017216301149349876,0.028328601980104125,0.012253334538880119,0.03329156859057388,0.017216301149349876,0.028328601980104125
8,R8,Stor Bane,'25-R8,Stor bane 2,0.01677415230300682,0.014809056955145653,0.011050466242570778,0.011727265522224101,0.02182103908378954,0.008073190424189438,0.025475114181824205,0.011727265522224101,0.02182103908378954
9,R9,Stor Bane,'25-R9,Stor bane 2,0.015899946830555907,0.015083268925118513,0.011607914171605671,0.010802744595074102,0.02099714906603771,0.004324692754330471,0.027475200906781343,0.010802744595074102,0.02099714906603771
10,R10,Stor Bane,'25-R10,Stor bane 2,0.01951367280294788,0.023643529009997666,0.05822075142945948,0.010895727668463452,0.02813161793743231,-0.0068316766898728,0.04585902229576856,0.010895727668463452,0.02813161793743231
11,R11,Stor Bane,'25-R11,Stor bane 2,0.042666477840003714,,,0.023406951565587825,0.061926004114419606,-0.03217536318578221,0.11750831886578963,0.023406951565587825,0.061926004114419606
12,R12,Stor Bane,'25-R12,Stor bane 2,0.024233782005545584,0.024480689175004847,0.027268838869453305,0.015249398939821577,0.03321816507126959,-0.0037134079374926375,0.0521809719485838,0.015249398939821577,0.03321816507126959
13,R13,Stor Bane,'25-R13,Stor bane 2,0.04987835872796877,,,0.02713893899672382,0.07261777845921373,-0.04181953581929441,0.14157625327523196,0.02713893899672382,0.07261777845921373
14,R14,Stor Bane,'25-R14,Stor bane 2,0.022072932250587478,,,0.013993340130401093,0.030152524370773863,-0.0001664370108069614,0.044312301511981914,0.013993340130401093,0.030152524370773863
15,R15,Stor Bane,'25-R15,Stor bane 2,0.023892778276946816,,,0.014902786173766966,0.032882770380126665,-0.0029832153517282134,0.050768771905621846,0.014902786173766966,0.032882770380126665
16,R16,Stor Bane,'25-R16,Stor bane 2,0.01744448877765724,0.012246329785748359,0.0029834479494148525,0.01037528493140606,0.024513692623908415,0.005528710992333468,0.02936026656298101,0.01037528493140606,0.024513692623908415
17,R17,Stor Bane,'25-R17,Stor bane 2,0.013804014534211359,0.0210806398459056,0.05273416828426214,0.007122912883348516,0.020485116185074204,-0.0017624861410298499,0.029370515209452566,0.007122912883348516,0.020485116185074204
18,R1,Stor Bane,'26-R1,Stor bane 2,0.046943482539912505,0.049377433876620344,0.08442096526257714,0.029073800024533535,0.06481316505529147,-0.0232423852690083,0.11712935034883332,0.029073800024533535,0.06481316505529147
19,R2,Stor Bane,'26-R2,Stor bane 2,0.03471778906559972,0.035924725658414876,0.04974395322292402,0.022666456643374543,0.046769121487824895,-0.006187498488045735,0.07562307661924517,0.022666456643374543,0.046769121487824895
20,R3,Stor Bane,'26-R3,Stor bane 2,0.0369483107121608,,,0.024730883571811677,0.049165737852509925,-0.005861400201127041,0.07975802162544865,0.024730883571811677,0.049165737852509925
