x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'26-R1,Stor Bane,Stor bane 2,0.0,,,-0.0021329011223980565,0.0021329466160402433,-6.070601262062903,6.462940616707091,-0.0021329011223980565,0.0021329466160402433
2,R2,'26-R2,Stor Bane,Stor bane 2,0.0,-0.016130767670230473,-2.9007822507301495,-0.2354749489382968,0.23603074220799325,-3.134447807281926,3.2358746079780953,-0.2354749489382968,0.23603074220799325
3,R3,'26-R3,Stor Bane,Stor bane 2,-0.01613041365758905,-0.0868600242872053,-10.064536165369297,-0.3450046829417741,0.31382918290649986,-4.001603709451529,4.134803952375599,-0.3450046829417741,0.31382918290649986
