x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Stor Bane,Stor bane 1,-3.295052651308772,-4.168251541372814,-4.02786712054769,-4.783959115511649,-1.782863949800595,-4.783973074215586,-1.78284955113297,-4.783959115511649,-1.782863949800595
2,R2,'23-R2,Stor Bane,Stor bane 1,-1.9015886493160217,-2.264414373070367,-3.42524904516025,-3.025025020509109,-0.7651374845600967,-4.193694582007645,0.4453544841606538,-3.025025020509109,-0.7651374845600967
3,R3,'23-R3,Stor Bane,Stor bane 1,-2.949324816185872,-3.456515971929164,-5.316107333175591,-3.6157747103792603,-2.2782667461199724,-4.393668859398314,-1.4831607774744238,-3.6157747103792603,-2.2782667461199724
4,R4,'23-R4,Stor Bane,Stor bane 1,-3.1116183539196762,-3.111965958250129,-3.137037321031355,-3.959433284621161,-2.256319188365119,-5.126792749534981,-1.053640220953922,-3.959433284621161,-2.256319188365119
5,R5,'23-R5,Stor Bane,Stor bane 1,-3.603819399083652,,,-4.121166106267749,-3.0836811725979074,-4.761390305287971,-2.4321788796501376,-4.121166106267749,-3.0836811725979074
6,R6,'23-R6,Stor Bane,Stor bane 1,-1.6485423829014967,-2.4243479773626286,-6.923295296406318,-3.3810212808513818,0.11500166572200321,-6.1560399916780195,3.07545860756655,-3.3810212808513818,0.11500166572200321
7,R8,'23-R8,Stor Bane,Stor bane 1,-4.092251651248957,-4.662166680222867,-5.107896680259804,-4.524021688616175,-3.6585290246706537,-4.683716294315909,-3.497116801891975,-4.524021688616175,-3.6585290246706537
8,R9,'23-R9,Stor Bane,Stor bane 1,-4.149872309115277,-4.132923622157492,-4.042227788015895,-5.004952507993654,-3.2870952653400676,-6.482332042267069,-1.759237810428993,-5.004952507993654,-3.2870952653400676
9,R10,'23-R10,Stor Bane,Stor bane 1,-4.77172068796039,,,-5.2696121891723795,-4.271212329025042,-5.269653293293897,-4.271170791673418,-5.2696121891723795,-4.271212329025042
10,R11,'23-R11,Stor Bane,Stor bane 1,-3.7428837619176147,,,-5.070214729373202,-2.3969937353411797,-7.533295364729076,0.20290506749014448,-5.070214729373202,-2.3969937353411797
11,R12,'23-R12,Stor Bane,Stor bane 1,-4.1528699708021755,-4.510845009971276,-6.425835549606296,-5.086802186929662,-3.2097479959855124,-6.56908913811205,-1.6741648980182045,-5.086802186929662,-3.2097479959855124
12,R13,'23-R13,Stor Bane,Stor bane 1,-4.804110827657171,-4.464128993074934,-3.939641047494935,-5.39786995912277,-4.20662503690763,-5.750359440759601,-3.848362056968091,-5.39786995912277,-4.20662503690763
13,R14,'23-R14,Stor Bane,Stor bane 1,-2.3023485126896337,,,-5.086642451599321,0.5636229997301401,-11.23123912530949,7.524663091893524,-5.086642451599321,0.5636229997301401
14,R15,'23-R15,Stor Bane,Stor bane 1,-3.980913894459348,-3.7933311578458806,-2.278784736516959,-4.916036805485035,-3.0365943236674187,-6.662161448456294,-1.2226441107067387,-4.916036805485035,-3.0365943236674187
15,R16,'23-R16,Stor Bane,Stor bane 1,-3.9736670161440557,-3.947799089289228,-3.5924032150910556,-4.7582150891974155,-3.182656278835627,-6.098178396794729,-1.8010889576648426,-4.7582150891974155,-3.182656278835627
16,R17,'23-R17,Stor Bane,Stor bane 1,-4.199866848810463,-4.619955931011721,-6.359490531841027,-4.821045350951259,-3.5746342705039402,-5.591949333090729,-2.787257580751157,-4.821045350951259,-3.5746342705039402
17,R1,'24-R1,Stor Bane,Stor bane 1,-3.768089809147801,,,-5.010382335340369,-2.509550341883382,-7.540352503912273,0.15807749399099347,-5.010382335340369,-2.509550341883382
