x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 2,0.0,-0.0003921077432034971,-0.0015100857582766025,-0.020501632920093757,0.020501632920093757
2,R2,Stor Bane,'24-R2,Stor bane 2,-0.0003921077432034971,0.014578041489046123,0.014760798539287832,-0.018259358193850182,0.017475142707443186
3,R3,Stor Bane,'24-R3,Stor bane 2,0.014578041489046123,0.015775011457977158,0.07792790368048669,0.011126785930055595,0.01802929704803665
4,R4,Stor Bane,'24-R4,Stor bane 2,0.015775011457977158,,,0.011331253885892744,0.020218769030061572
5,R5,Stor Bane,'24-R5,Stor bane 2,0.015775011457977158,,,0.010501696142258115,0.021048326773696203
6,R6,Stor Bane,'24-R6,Stor bane 2,0.015775011457977158,0.018801936627055926,0.030823463550852467,0.009785960825486521,0.021764062090467794
7,R7,Stor Bane,'24-R7,Stor bane 2,0.018801936627055926,0.017337455340803738,0.00861795507425639,0.012742664792516767,0.024861208461595084
8,R8,Stor Bane,'24-R8,Stor bane 2,0.017337455340803738,,,0.011052873066059517,0.02362203761554796
9,R9,Stor Bane,'24-R9,Stor bane 2,0.017337455340803738,0.017653326953952796,0.028535976532766478,0.010441308052094722,0.024233602629512754
10,R10,Stor Bane,'24-R10,Stor bane 2,0.017653326953952796,0.011216676297710972,-0.009565769099182976,0.007928067505604396,0.027378586402301196
11,R11,Stor Bane,'24-R11,Stor bane 2,0.011216676297710972,0.00940146489989609,-0.060027384651922894,0.0022570151261640803,0.020176337469257864
12,R12,Stor Bane,'24-R12,Stor bane 2,0.00940146489989609,0.012179118000265497,0.0280223091885425,0.00011216572040814374,0.018690764079384036
13,R13,Stor Bane,'24-R13,Stor bane 2,0.012179118000265497,0.01688041553267746,0.03154465858206401,0.003152490914210897,0.021205745086320095
14,R14,Stor Bane,'24-R14,Stor bane 2,0.01688041553267746,0.016221910760418335,0.0037482692810829263,0.008528153241792239,0.025232677823562682
15,R15,Stor Bane,'24-R15,Stor bane 2,0.016221910760418335,,,0.007600828199346661,0.02484299332149001
16,R16,Stor Bane,'24-R16,Stor bane 2,0.016221910760418335,,,0.007145350972461578,0.025298470548375092
17,R17,Stor Bane,'24-R17,Stor bane 2,0.016221910760418335,0.01377717558828697,0.0004675922621387614,0.006711663095720372,0.025732158425116298
18,R18,Stor Bane,'24-R18,Stor bane 2,0.01377717558828697,0.014915516656079347,0.01730544637856892,0.004840489431123576,0.022713861745450363
19,R1,Stor Bane,'25-R1,Stor bane 1,0.014915516656079347,0.0080220715998051,0.0030126809281968148,-0.0024202782546044153,0.03225131156676311
20,R2,Stor Bane,'25-R2,Stor bane 1,0.0080220715998051,0.0054640434905604395,-0.03395914705587673,-0.003577105525778366,0.019621248725388566
21,R3,Stor Bane,'25-R3,Stor bane 1,0.0054640434905604395,,,-0.006129223736802235,0.017057310717923116
22,R4,Stor Bane,'25-R4,Stor bane 1,0.0054640434905604395,,,-0.006471815006614402,0.01739990198773528
23,R5,Stor Bane,'25-R5,Stor bane 1,0.0054640434905604395,-0.002360815888177107,-0.006611115931541138,-0.006804843627842776,0.017732930608963655
24,R6,Stor Bane,'25-R6,Stor bane 1,-0.002360815888177107,-0.0011635168986578227,0.015180994986031145,-0.010173877744438911,0.005452245968084697
25,R7,Stor Bane,'25-R7,Stor bane 1,-0.0011635168986578227,,,-0.009221948200726937,0.006894914403411292
26,R8,Stor Bane,'25-R8,Stor bane 1,-0.0011635168986578227,,,-0.009707473131557589,0.007380439334241943
27,R9,Stor Bane,'25-R9,Stor bane 1,-0.0011635168986578227,0.01199246112062272,0.014488746363141425,-0.010166853011968614,0.007839819214652967
28,R10,Stor Bane,'25-R10,Stor bane 1,0.01199246112062272,,,0.004163475264241373,0.019821446977004067
29,R11,Stor Bane,'25-R11,Stor bane 1,0.01199246112062272,0.013014749078676566,0.07497985455990178,0.003664562670295732,0.020320359570949707
30,R12,Stor Bane,'25-R12,Stor bane 1,0.013014749078676566,,,0.004280383093668122,0.021749115063685008
31,R13,Stor Bane,'25-R13,Stor bane 1,0.013014749078676566,0.013631942006616469,0.06582358674673124,0.0038305222620298868,0.022198975895323245
32,R14,Stor Bane,'25-R14,Stor bane 1,0.013631942006616469,,,0.004070296178315294,0.023193587834917644
33,R15,Stor Bane,'25-R15,Stor bane 1,0.013631942006616469,,,0.0036576779232161943,0.02360620609001674
34,R16,Stor Bane,'25-R16,Stor bane 1,0.013631942006616469,,,0.0032614638563599353,0.024002420156873004
35,R17,Stor Bane,'25-R17,Stor bane 1,0.013631942006616469,,,0.002879840345802076,0.02438404366743086
36,R1,Stor Bane,'26-R1,Stor bane 1,0.013631942006616469,0.00826259992802459,-0.04806815364708725,-0.0054859751124164274,0.032749859125649365
37,R2,Stor Bane,'26-R2,Stor bane 1,0.00826259992802459,0.02593886913802798,0.07457258317163418,-0.010223857038050576,0.026749056894099756
