x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 3,0.0,,,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'24-R2,Lille bane 3,0.0,,,-0.02776227935288768,0.02776227935288768
3,R3,Lille Bane,'24-R3,Lille bane 3,0.0,0.13728840496438646,0.19185962148300284,-0.02776227935288768,0.02776227935288768
4,R4,Lille Bane,'24-R4,Lille bane 3,0.13728840496438646,,,0.12199113389045292,0.15258567603832
5,R5,Lille Bane,'24-R5,Lille bane 3,0.13728840496438646,0.13410699692445552,0.12919907270377987,0.12151539329697518,0.15306141663179776
6,R6,Lille Bane,'24-R6,Lille bane 3,0.13410699692445552,,,0.12123357867461987,0.14698041517429117
7,R7,Lille Bane,'24-R7,Lille bane 3,0.13410699692445552,,,0.12067173391303329,0.14754225993587775
8,R8,Lille Bane,'24-R8,Lille bane 3,0.13410699692445552,,,0.12013245983240917,0.14808153401650187
9,R9,Lille Bane,'24-R9,Lille bane 3,0.13410699692445552,,,0.11961323682957786,0.14860075701933317
10,R10,Lille Bane,'24-R10,Lille bane 3,0.13410699692445552,,,0.11682239539033848,0.15139159845857256
11,R11,Lille Bane,'24-R11,Lille bane 3,0.13410699692445552,,,0.11639996880158607,0.15181402504732497
12,R12,Lille Bane,'24-R12,Lille bane 3,0.13410699692445552,0.12635194724802154,0.10944463711278421,0.11598738766556203,0.152226606183349
13,R13,Lille Bane,'24-R13,Lille bane 3,0.12635194724802154,0.15314885553320945,0.26464129276120973,0.11086447727980758,0.1418394172162355
14,R14,Lille Bane,'24-R14,Lille bane 3,0.15314885553320945,,,0.1387209622365114,0.1675767488299075
15,R15,Lille Bane,'24-R15,Lille bane 3,0.15314885553320945,,,0.1382174959255986,0.1680802151408203
16,R16,Lille Bane,'24-R16,Lille bane 3,0.15314885553320945,0.1556877626635565,0.20650002005333956,0.13773046085403867,0.16856725021238023
17,R17,Lille Bane,'24-R17,Lille bane 3,0.1556877626635565,,,0.14015730228475895,0.17121822304235404
18,R18,Lille Bane,'24-R18,Lille bane 3,0.1556877626635565,,,0.13995467386821606,0.17142085145889693
19,R1,Lille Bane,'25-R1,Lille bane 2,0.1556877626635565,0.1564120348106928,0.1575050219246073,0.12924124234698264,0.18213428298013035
20,R2,Lille Bane,'25-R2,Lille bane 2,0.1564120348106928,0.15560384294287272,0.14956598247948197,0.13554470918901199,0.1772793604323736
21,R3,Lille Bane,'25-R3,Lille bane 2,0.15560384294287272,0.13078038958779828,0.07504343492092919,0.13563333019733015,0.17557435568841528
22,R4,Lille Bane,'25-R4,Lille bane 2,0.13078038958779828,0.11088911929065587,0.10245699325948024,0.11373010845153025,0.1478306707240663
23,R5,Lille Bane,'25-R5,Lille bane 2,0.11088911929065587,0.11277652636391403,0.11298533505560476,0.1008228906673247,0.12095534791398704
24,R6,Lille Bane,'25-R6,Lille bane 2,0.11277652636391403,0.10975022170026291,0.07662759304960035,0.10778904237016139,0.11776401035766666
25,R7,Lille Bane,'25-R7,Lille bane 2,0.10975022170026291,0.11313135342314812,0.14550075441134544,0.10362046522467497,0.11587997817585086
26,R8,Lille Bane,'25-R8,Lille bane 2,0.11313135342314812,,,0.10614552993050927,0.12011717691578697
27,R9,Lille Bane,'25-R9,Lille bane 2,0.11313135342314812,0.10576992539532491,0.019226353303276544,0.1051574507010682,0.12110525614522803
28,R10,Lille Bane,'25-R10,Lille bane 2,0.10576992539532491,0.11597759028263925,0.1523644382270405,0.09363373709897226,0.11790611369167757
29,R11,Lille Bane,'25-R11,Lille bane 2,0.11597759028263925,0.11016143160216296,-0.004846232194515257,0.10458453820708041,0.1273706423581981
30,R12,Lille Bane,'25-R12,Lille bane 2,0.11016143160216296,,,0.09839985424006265,0.12192300896426328
31,R13,Lille Bane,'25-R13,Lille bane 2,0.11016143160216296,,,0.09778742268041253,0.1225354405239134
32,R14,Lille Bane,'25-R14,Lille bane 2,0.11016143160216296,,,0.09720390515818268,0.12311895804614324
33,R15,Lille Bane,'25-R15,Lille bane 2,0.11016143160216296,,,0.09664555625879963,0.1236773069455263
34,R16,Lille Bane,'25-R16,Lille bane 2,0.11016143160216296,,,0.0961093754875502,0.12421348771677572
35,R17,Lille Bane,'25-R17,Lille bane 2,0.11016143160216296,0.127614168564687,0.1758713549291263,0.09559291500646543,0.1247299481978605
36,R1,Lille Bane,'26-R1,Lille bane 2,0.127614168564687,0.12668412236164292,0.1106605673614105,0.10283326990659973,0.15239506722277424
37,R2,Lille Bane,'26-R2,Lille bane 2,0.12668412236164292,,,0.10228768365276861,0.15108056107051723
