x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Stor Bane,Stor bane 2,0.0,,-1.6779758541908496,1.7066123981565484,-3.9424901708954407,4.104301868650895,-1.6779758541908496,1.7066123981565484
2,R2,'24-R2,Stor Bane,Stor bane 2,0.0,,-1.6779758541908496,1.7066123981565484,-1.6892573433379465,1.718283574804702,-1.6779758541908496,1.7066123981565484
3,R3,'24-R3,Stor Bane,Stor bane 2,0.0,,-1.6779758541908496,1.7066123981565484,-3.012426065701812,3.1059917714227003,-1.6779758541908496,1.7066123981565484
4,R4,'24-R4,Stor Bane,Stor bane 2,0.0,,-1.6779758541908496,1.7066123981565484,-2.1352059142732416,2.181791658809251,-1.6779758541908496,1.7066123981565484
5,R5,'24-R5,Stor Bane,Stor bane 2,0.0,,-1.6779758541908496,1.7066123981565484,-2.107679898458936,2.153059500758281,-1.6779758541908496,1.7066123981565484
6,R6,'24-R6,Stor Bane,Stor bane 2,0.0,3.4335779620644935,-1.6779758541908496,1.7066123981565484,-2.049515599898355,2.09239965728667,-1.6779758541908496,1.7066123981565484
7,R7,'24-R7,Stor Bane,Stor bane 2,2.2799740683651093,,1.2590996731560722,3.31114071912606,0.0043227520222677285,4.607409035364851,1.2590996731560722,3.31114071912606
8,R8,'24-R8,Stor Bane,Stor bane 2,2.2799740683651093,4.898552032740411,1.2317536033315202,3.339048500698505,0.6512464829708575,3.9350575474031757,1.2317536033315202,3.339048500698505
9,R9,'24-R9,Stor Bane,Stor bane 2,3.3503674604711264,,2.502193967792432,4.205559322667907,-0.8191851992919719,7.6952077443323885,2.502193967792432,4.205559322667907
10,R10,'24-R10,Stor Bane,Stor bane 2,3.3503674604711264,1.8116049816145452,2.317628987117226,4.393529834035603,1.3178004777907093,5.423710383012037,2.317628987117226,4.393529834035603
11,R11,'24-R11,Stor Bane,Stor bane 2,2.954792023629005,11.760257233032089,2.0348154446446998,3.8830633880960086,-2.7233054111945543,8.964323319519018,2.0348154446446998,3.8830633880960086
12,R12,'24-R12,Stor Bane,Stor bane 2,3.166519904979581,,2.225070617927827,4.116639538304856,0.7197098549801106,5.672770946512884,2.225070617927827,4.116639538304856
13,R13,'24-R13,Stor Bane,Stor bane 2,3.166519904979581,2.675732708976919,2.194940249460542,4.147336485778053,1.2061442476189788,5.164868283725266,2.194940249460542,4.147336485778053
14,R14,'24-R14,Stor Bane,Stor bane 2,3.046916864379101,1.0078200955395022,2.1687668568964646,3.932614652454247,-0.6964017841411541,6.9313425297256925,2.1687668568964646,3.932614652454247
15,R15,'24-R15,Stor Bane,Stor bane 2,2.936799446828986,-0.9241746607157375,2.0502560567079886,3.8310445244609914,-0.4205644161361155,6.407358288679577,2.0502560567079886,3.8310445244609914
16,R16,'24-R16,Stor Bane,Stor bane 2,2.669373840574263,10.845266323966761,1.7827789658113158,3.5636915391777713,-3.6065373395932854,9.353892202746582,1.7827789658113158,3.5636915391777713
17,R17,'24-R17,Stor Bane,Stor bane 2,2.8182128672647133,5.564335186943459,1.9067356932113366,3.7378425018318007,0.19149770862996185,5.5137924772989955,1.9067356932113366,3.7378425018318007
18,R18,'24-R18,Stor Bane,Stor bane 2,3.1395615284345535,4.855914842744036,2.2665541466295736,4.0200214140913015,1.4995926754749034,4.806028003382479,2.2665541466295736,4.0200214140913015
19,R1,'25-R1,Stor Bane,Stor bane 2,3.619436713040658,,2.0944528767198323,5.1671992178935255,1.2044425143312276,6.09205878691943,2.0944528767198323,5.1671992178935255
20,R2,'25-R2,Stor Bane,Stor bane 2,3.619436713040658,13.717692432876794,2.075663142201911,5.186558031664279,-1.285901030629255,8.76853232545165,2.075663142201911,5.186558031664279
21,R3,'25-R3,Stor Bane,Stor bane 2,4.546684380009647,7.202842099041495,3.045343910757725,6.069898940016838,1.870301314152889,7.293382603697474,3.045343910757725,6.069898940016838
22,R4,'25-R4,Stor Bane,Stor bane 2,5.3658811754403235,2.324189658431264,4.08487513301572,6.662652971329397,3.8423327378590555,6.911782730295224,4.08487513301572,6.662652971329397
23,R5,'25-R5,Stor Bane,Stor bane 2,3.211310474620954,4.433190986437285,2.4870798362273128,3.940658929020535,1.7455957157447521,4.698139855110739,2.4870798362273128,3.940658929020535
24,R6,'25-R6,Stor Bane,Stor bane 2,3.506157786743902,,2.829183975969496,4.187588440631829,0.5390818607246883,6.560797070094693,2.829183975969496,4.187588440631829
25,R7,'25-R7,Stor Bane,Stor bane 2,3.506157786743902,2.7699310104099206,2.787453332732359,4.229887524245468,2.0828636347424156,4.949296270800652,2.787453332732359,4.229887524245468
26,R8,'25-R8,Stor Bane,Stor bane 2,3.319219811438745,,2.6538035224300094,3.988949421751564,2.3342502529017928,4.313669725075253,2.6538035224300094,3.988949421751564
27,R9,'25-R9,Stor Bane,Stor bane 2,3.319219811438745,2.9711950958918987,2.611533655279308,4.031786702519291,2.415643719859828,4.230767827262993,2.611533655279308,4.031786702519291
28,R10,'25-R10,Stor Bane,Stor bane 2,3.10600508242429,,2.37038392968858,3.8469123194705412,0.6932581916230918,5.576564657645666,2.37038392968858,3.8469123194705412
